,Company,line_key,header_key,JRNENTRY,trxdate,ACTNUMBR_1,ACTNUMBR_2,ACTNUMBR_3,ACTNUMBR_4,ACTNUMBR_5,REFRENCE,DSCRIPTN,CRDTAMNT,DEBITAMT,ORCRDAMT,ORDBTAMT,CURNCYID,CC_CODE_LEGACY,FULLGL,gp_rec_id,FUNLCURR,gp_trip_code,gp_service_id,Header Key*,Add Only,Create Journal with Errors,Accounting Journal,Auto Complete,Comment,Worker,Accounting Journal ID,Submit,Disable Optional Worktag Balancing,Locked in Workday,Round Ledger Amounts,Journal Number,Company*,Currency*,Ledger Type*,Book Code,Accounting Date*,Journal Source*,Balancing Worktag,Optional Balancing Worktags+,External Supplier Invoice Source,Record Quantity,Journal Entry Memo,External Reference ID,Document Link,Adjustment Journal,Include Tax Lines,Create Reversal,Reversal Date,Control Total Amount,Currency Rate Type,Display Account Set,Row ID*,Content Type,Filename,Encoding,Compressed,File Content,Companies Without Access+,Skip,Discard On Exit Validation Error,File Name*,Event Attachment Description,Event Attachment Category,File,Legacy Ledger Account,Workday Ledger Account SC,Legacy ID_x,Legacy ID_y,Legacy Description_x,CC_Code,Legacy ID_x.1,Legacy Description_y,RevenueCategory,Legacy ID_y.1,Legacy Description - Legacy Name: Reporting Office_x,operational_territory_oh,Legacy Description - Legacy Name: Reporting Office_y,operational_territory_rev_cog,Legacy ID,Legacy Description,Posting Type,Account Category Number,Gross margin category,Workday ID Ledger Account,bookingno,id,billing_group_name,reporting_office_name,agent,associated_agent,online,agent_code,travel_style,sub_territory,trip_code,revenue_stream,service_id,parent_trip_code,revenue_fraction,Line Key,Line Order,Line Company,Ledger Account,Account Set,Alternate Ledger Account,Debit Amount,Credit Amount,Currency,Currency Rate,Ledger Debit Amount,Ledger Credit Amount,Quantity,Unit of Measure,Quantity 2,Unit of Measure 2,Memo,Budget Date,Cost Center,Spend Category,Revenue,Revenue Stream,Operational Territory,Billing Group,Channel (How),Channel (Who),Travel Style,Bank Account,Intercompany Affiliate,Region,Balancing Worktag Affiliate,Exclude from Spend Report,Transaction Date*,Tax Type*,Taxable Amount,Tax Code*,Tax Rate*,Tax Applicability,Tax Recoverability,Tax Recoverability Type,Tax Point Date Type,Supplier,Customer,External Business Entity Name,External Business Entity Address,External Business Entity Tax ID,Line Order*,Do Not Use
19,Barbados,4,23548066,23771223,2021-08-01,20,300,20,900,43500,1604897                        ,3984996-2021-08-02             ,172.0,0.0,172.0,0.0,USD            ,20-900,20-300-20-900-43500,91362154,USD            ,,3984996,23548066,Y,,,Y,,,,Y,,,,Legacy_23771223,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1604897                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43500.0,Product Revenue,RC_Product_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1604897.0,,,,,,,,,,,,,,,4,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
22,Barbados,2,23548067,23771224,2021-08-01,20,300,20,900,41500,1604900                        ,FIT-3963295-2021-08-01         ,2849.0,0.0,2849.0,0.0,USD            ,20-900,20-300-20-900-41500,91362157,USD            ,,3963295,23548067,Y,,,Y,,,,Y,,,,Legacy_23771224,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1604900                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500.0,FIT Revenue,RC_Private_Groups_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1604900.0,1604900.0,GEEO,Europe Gate,35643.0,0.0,0.0,736741.0,Classic,US Affinity Groups National,GPEGEOENHELBI210801-O1,Closed Departure,3963295.0,GPEGEOENHELBIE210801-O1,1.0,2,,,,Parent,,0.0,2849.0,USD            ,,0.0,2849.0,,,,,,,,,,Closed Departure,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
23,Barbados,3,23548067,23771224,2021-08-01,20,300,20,900,41501,1604900                        ,FIT-3963295-2021-08-01         ,0.0,227.92,0.0,227.92,USD            ,20-900,20-300-20-900-41501,91362158,USD            ,,3963295,23548067,Y,,,Y,,,,Y,,,,Legacy_23771224,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1604900                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41501.0,FIT Discounts/Promotions,RC_Private_Groups_Discounts,900.0,Basecamp,OT_Basecamp,,,,,,,,,1604900.0,1604900.0,GEEO,Europe Gate,35643.0,0.0,0.0,736741.0,Classic,US Affinity Groups National,GPEGEOENHELBI210801-O1,Closed Departure,3963295.0,GPEGEOENHELBIE210801-O1,1.0,3,,,,Parent,,227.92,0.0,USD            ,,227.92,0.0,,,,,,,,,,Closed Departure,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
24,Barbados,4,23548067,23771224,2021-08-01,20,300,20,900,43500,1604900                        ,3985056-2021-08-02             ,172.0,0.0,172.0,0.0,USD            ,20-900,20-300-20-900-43500,91362159,USD            ,,3985056,23548067,Y,,,Y,,,,Y,,,,Legacy_23771224,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1604900                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43500.0,Product Revenue,RC_Product_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1604900.0,,,,,,,,,,,,,,,4,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
27,Barbados,3,23548068,23771225,2021-08-01,20,300,20,900,42500,1609565                        ,4023207-2021-08-07             ,20.0,0.0,20.0,0.0,USD            ,20-900,20-300-20-900-42500,91362163,USD            ,,4023207,23548068,Y,,,Y,,,,Y,,,,Legacy_23771225,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1609565                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42500.0,Transfer Revenue,RC_Transfer_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1609565.0,,,,,,,,,,,,,,,3,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
28,Barbados,4,23548068,23771225,2021-08-01,20,300,20,900,42500,1609565                        ,4023206-2021-08-01             ,20.0,0.0,20.0,0.0,USD            ,20-900,20-300-20-900-42500,91362164,USD            ,,4023206,23548068,Y,,,Y,,,,Y,,,,Legacy_23771225,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1609565                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42500.0,Transfer Revenue,RC_Transfer_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1609565.0,,,,,,,,,,,,,,,4,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
35,Barbados,2,23548070,23771227,2021-08-01,20,300,20,900,41500,1615987                        ,FIT-3970783-2021-08-01         ,2849.0,0.0,2849.0,0.0,USD            ,20-900,20-300-20-900-41500,91362175,USD            ,,3970783,23548070,Y,,,Y,,,,Y,,,,Legacy_23771227,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1615987                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500.0,FIT Revenue,RC_Private_Groups_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1615987.0,1615987.0,GEEO,Europe Gate,35643.0,0.0,1.0,736741.0,Classic,US Affinity Groups National,GPEGEOENHELBI210801-O1,Closed Departure,3970783.0,GPEGEOENHELBIE210801-O1,1.0,2,,,,Parent,,0.0,2849.0,USD            ,,0.0,2849.0,,,,,,,,,,Closed Departure,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
36,Barbados,3,23548070,23771227,2021-08-01,20,300,20,900,47000,1615987                        ,3962470                        ,350.0,0.0,350.0,0.0,USD            ,20-900,20-300-20-900-47000,91362176,USD            ,,3962470,23548070,Y,,,Y,,,,Y,,,,Legacy_23771227,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1615987                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1615987.0,,,,,,,,,,,,,,,3,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
37,Barbados,4,23548070,23771227,2021-08-01,20,300,20,900,41501,1615987                        ,FIT-3970783-2021-08-01         ,0.0,142.45,0.0,142.45,USD            ,20-900,20-300-20-900-41501,91362177,USD            ,,3970783,23548070,Y,,,Y,,,,Y,,,,Legacy_23771227,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1615987                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41501.0,FIT Discounts/Promotions,RC_Private_Groups_Discounts,900.0,Basecamp,OT_Basecamp,,,,,,,,,1615987.0,1615987.0,GEEO,Europe Gate,35643.0,0.0,1.0,736741.0,Classic,US Affinity Groups National,GPEGEOENHELBI210801-O1,Closed Departure,3970783.0,GPEGEOENHELBIE210801-O1,1.0,4,,,,Parent,,142.45,0.0,USD            ,,142.45,0.0,,,,,,,,,,Closed Departure,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
38,Barbados,5,23548070,23771227,2021-08-01,20,300,20,900,43500,1615987                        ,3984535-2021-08-02             ,172.0,0.0,172.0,0.0,USD            ,20-900,20-300-20-900-43500,91362178,USD            ,,3984535,23548070,Y,,,Y,,,,Y,,,,Legacy_23771227,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1615987                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43500.0,Product Revenue,RC_Product_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1615987.0,,,,,,,,,,,,,,,5,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
