,Company,line_key,header_key,JRNENTRY,trxdate,ACTNUMBR_1,ACTNUMBR_2,ACTNUMBR_3,ACTNUMBR_4,ACTNUMBR_5,REFRENCE,DSCRIPTN,CRDTAMNT,DEBITAMT,ORCRDAMT,ORDBTAMT,CURNCYID,CC_CODE_LEGACY,FULLGL,gp_rec_id,FUNLCURR,gp_trip_code,gp_service_id,Header Key*,Add Only,Create Journal with Errors,Accounting Journal,Auto Complete,Comment,Worker,Accounting Journal ID,Submit,Disable Optional Worktag Balancing,Locked in Workday,Round Ledger Amounts,Journal Number,Company*,Currency*,Ledger Type*,Book Code,Accounting Date*,Journal Source*,Balancing Worktag,Optional Balancing Worktags+,External Supplier Invoice Source,Record Quantity,Journal Entry Memo,External Reference ID,Document Link,Adjustment Journal,Include Tax Lines,Create Reversal,Reversal Date,Control Total Amount,Currency Rate Type,Display Account Set,Row ID*,Content Type,Filename,Encoding,Compressed,File Content,Companies Without Access+,Skip,Discard On Exit Validation Error,File Name*,Event Attachment Description,Event Attachment Category,File,Legacy Ledger Account,Workday Ledger Account SC,Legacy ID_x,Legacy ID_y,Legacy Description_x,CC_Code,Legacy ID_x.1,Legacy Description_y,RevenueCategory,Legacy ID_y.1,Legacy Description - Legacy Name: Reporting Office_x,operational_territory_oh,Legacy Description - Legacy Name: Reporting Office_y,operational_territory_rev_cog,Legacy ID,Legacy Description,Posting Type,Account Category Number,Gross margin category,Workday ID Ledger Account,bookingno,id,billing_group_name,reporting_office_name,agent,associated_agent,online,agent_code,travel_style,sub_territory,trip_code,revenue_stream,service_id,parent_trip_code,revenue_fraction,Line Key,Line Order,Line Company,Ledger Account,Account Set,Alternate Ledger Account,Debit Amount,Credit Amount,Currency,Currency Rate,Ledger Debit Amount,Ledger Credit Amount,Quantity,Unit of Measure,Quantity 2,Unit of Measure 2,Memo,Budget Date,Cost Center,Spend Category,Revenue,Revenue Stream,Operational Territory,Billing Group,Channel (How),Channel (Who),Travel Style,Bank Account,Intercompany Affiliate,Region,Balancing Worktag Affiliate,Exclude from Spend Report,Transaction Date*,Tax Type*,Taxable Amount,Tax Code*,Tax Rate*,Tax Applicability,Tax Recoverability,Tax Recoverability Type,Tax Point Date Type,Supplier,Customer,External Business Entity Name,External Business Entity Address,External Business Entity Tax ID,Line Order*,Do Not Use
12230,Barbados,1,23607660,23830893,2021-08-16,20,300,20,900,47000,1611724                        ,4037960                        ,700.0,0.0,700.0,0.0,USD            ,20-900,20-300-20-900-47000,91508531,USD            ,,4037960,23607660,Y,,,Y,,,,Y,,,,Legacy_23830893,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1611724                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1611724.0,,,,,,,,,,,,,,,1,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12233,Barbados,1,23607661,23830894,2021-08-16,20,425,20,900,47000,1611729                        ,4038669                        ,1000.0,0.0,1000.0,0.0,USD            ,20-900,20-425-20-900-47000,91508534,USD            ,,4038669,23607661,Y,,,Y,,,,Y,,,,Legacy_23830894,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1611729                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1611729.0,,,,,,,,,,,,,,,1,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12235,Barbados,1,23607662,23830895,2021-08-16,20,300,20,900,47000,1612780                        ,4038588                        ,2000.0,0.0,2000.0,0.0,USD            ,20-900,20-300-20-900-47000,91508536,USD            ,,4038588,23607662,Y,,,Y,,,,Y,,,,Legacy_23830895,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1612780                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1612780.0,,,,,,,,,,,,,,,1,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12236,Barbados,2,23607662,23830895,2021-08-16,20,300,20,900,47000,1612780                        ,4038587                        ,2000.0,0.0,2000.0,0.0,USD            ,20-900,20-300-20-900-47000,91508537,USD            ,,4038587,23607662,Y,,,Y,,,,Y,,,,Legacy_23830895,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1612780                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1612780.0,,,,,,,,,,,,,,,2,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12242,Barbados,2,23607663,23830896,2021-08-16,20,425,20,900,47000,1613084                        ,4037976                        ,276.25,0.0,200.0,0.0,GBP            ,20-900,20-425-20-900-47000,91508543,USD            ,,4037976,23607663,Y,,,Y,,,,Y,,,,Legacy_23830896,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1613084                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1613084.0,,,,,,,,,,,,,,,2,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12244,Barbados,5,23607664,23830897,2021-08-16,20,425,20,900,47000,1613448                        ,4038631                        ,552.49,0.0,400.0,0.0,GBP            ,20-900,20-425-20-900-47000,91508548,USD            ,,4038631,23607664,Y,,,Y,,,,Y,,,,Legacy_23830897,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1613448                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1613448.0,,,,,,,,,,,,,,,5,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12245,Barbados,6,23607664,23830897,2021-08-16,20,425,20,900,47000,1613448                        ,4038630                        ,552.49,0.0,400.0,0.0,GBP            ,20-900,20-425-20-900-47000,91508549,USD            ,,4038630,23607664,Y,,,Y,,,,Y,,,,Legacy_23830897,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1613448                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1613448.0,,,,,,,,,,,,,,,6,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12248,Barbados,1,23607665,23830898,2021-08-16,20,425,20,900,47000,1613763                        ,4038086                        ,276.25,0.0,200.0,0.0,GBP            ,20-900,20-425-20-900-47000,91508555,USD            ,,4038086,23607665,Y,,,Y,,,,Y,,,,Legacy_23830898,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1613763                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1613763.0,,,,,,,,,,,,,,,1,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12251,Barbados,2,23607666,23830899,2021-08-16,20,300,20,900,47000,1614577                        ,4038518                        ,2000.0,0.0,2000.0,0.0,USD            ,20-900,20-300-20-900-47000,91508558,USD            ,,4038518,23607666,Y,,,Y,,,,Y,,,,Legacy_23830899,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1614577                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1614577.0,,,,,,,,,,,,,,,2,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12255,Barbados,2,23607667,23830900,2021-08-16,20,300,20,900,47000,1616357                        ,4038125                        ,350.0,0.0,350.0,0.0,USD            ,20-900,20-300-20-900-47000,91508564,USD            ,,4038125,23607667,Y,,,Y,,,,Y,,,,Legacy_23830900,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1616357                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1616357.0,,,,,,,,,,,,,,,2,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12258,Barbados,3,23607668,23830901,2021-08-16,20,425,20,900,47000,1616958                        ,4038099                        ,276.25,0.0,200.0,0.0,GBP            ,20-900,20-425-20-900-47000,91508567,USD            ,,4038099,23607668,Y,,,Y,,,,Y,,,,Legacy_23830901,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1616958                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1616958.0,,,,,,,,,,,,,,,3,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12261,Barbados,2,23607669,23830902,2021-08-16,20,425,20,900,47000,1618452                        ,4038641                        ,1381.23,0.0,1000.0,0.0,GBP            ,20-900,20-425-20-900-47000,91508570,USD            ,,4038641,23607669,Y,,,Y,,,,Y,,,,Legacy_23830902,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1618452                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1618452.0,,,,,,,,,,,,,,,2,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12263,Barbados,2,23607670,23830903,2021-08-16,20,425,20,900,47000,1619443                        ,4038030                        ,0.0,3649.43,0.0,2642.16,GBP            ,20-900,20-425-20-900-47000,91508572,USD            ,,4038030,23607670,Y,,,Y,,,,Y,,,,Legacy_23830903,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1619443                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1619443.0,,,,,,,,,,,,,,,2,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12266,Barbados,2,23607671,23830904,2021-08-16,20,425,20,900,47000,1619462                        ,4038040                        ,276.25,0.0,200.0,0.0,GBP            ,20-900,20-425-20-900-47000,91508575,USD            ,,4038040,23607671,Y,,,Y,,,,Y,,,,Legacy_23830904,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1619462                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1619462.0,,,,,,,,,,,,,,,2,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12268,Barbados,3,23607672,23830905,2021-08-16,20,100,20,900,47000,1621375                        ,4038676                        ,259.96,0.0,350.0,0.0,AUD            ,20-900,20-100-20-900-47000,91508578,USD            ,,4038676,23607672,Y,,,Y,,,,Y,,,,Legacy_23830905,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1621375                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1621375.0,,,,,,,,,,,,,,,3,,,,Parent,,,,AUD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12270,Barbados,2,23607673,23830906,2021-08-16,20,300,20,900,47000,1621676                        ,4037879                        ,350.0,0.0,350.0,0.0,USD            ,20-900,20-300-20-900-47000,91508581,USD            ,,4037879,23607673,Y,,,Y,,,,Y,,,,Legacy_23830906,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1621676                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1621676.0,,,,,,,,,,,,,,,2,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12272,Barbados,2,23607674,23830907,2021-08-16,20,425,20,900,47000,1622732                        ,4038616                        ,0.0,1172.19,0.0,848.66,GBP            ,20-900,20-425-20-900-47000,91508583,USD            ,,4038616,23607674,Y,,,Y,,,,Y,,,,Legacy_23830907,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1622732                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1622732.0,,,,,,,,,,,,,,,2,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12275,Barbados,2,23607675,23830908,2021-08-16,20,425,20,900,47000,1623354                        ,4037934                        ,0.0,1102.22,0.0,798.0,GBP            ,20-900,20-425-20-900-47000,91508586,USD            ,,4037934,23607675,Y,,,Y,,,,Y,,,,Legacy_23830908,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1623354                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1623354.0,,,,,,,,,,,,,,,2,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12278,Barbados,6,23607676,23830909,2021-08-16,20,100,20,900,47000,1624011                        ,4038674                        ,259.96,0.0,350.0,0.0,AUD            ,20-900,20-100-20-900-47000,91508593,USD            ,,4038674,23607676,Y,,,Y,,,,Y,,,,Legacy_23830909,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1624011                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1624011.0,,,,,,,,,,,,,,,6,,,,Parent,,,,AUD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12279,Barbados,7,23607676,23830909,2021-08-16,20,100,20,900,47000,1624011                        ,3924388                        ,259.96,0.0,350.0,0.0,AUD            ,20-900,20-100-20-900-47000,91508594,USD            ,,3924388,23607676,Y,,,Y,,,,Y,,,,Legacy_23830909,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1624011                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1624011.0,,,,,,,,,,,,,,,7,,,,Parent,,,,AUD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12280,Barbados,8,23607676,23830909,2021-08-16,20,100,20,900,47000,1624011                        ,3924391                        ,0.0,259.21,0.0,349.0,AUD            ,20-900,20-100-20-900-47000,91508595,USD            ,,3924391,23607676,Y,,,Y,,,,Y,,,,Legacy_23830909,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1624011                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1624011.0,,,,,,,,,,,,,,,8,,,,Parent,,,,AUD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12284,Barbados,1,23607677,23830910,2021-08-16,20,425,20,900,47000,1624023                        ,4038288                        ,276.25,0.0,200.0,0.0,GBP            ,20-900,20-425-20-900-47000,91508599,USD            ,,4038288,23607677,Y,,,Y,,,,Y,,,,Legacy_23830910,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1624023                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1624023.0,,,,,,,,,,,,,,,1,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12288,Barbados,3,23607678,23830911,2021-08-16,20,100,20,900,47000,1624770                        ,4037910                        ,742.73,0.0,1000.0,0.0,AUD            ,20-900,20-100-20-900-47000,91508603,USD            ,,4037910,23607678,Y,,,Y,,,,Y,,,,Legacy_23830911,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1624770                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1624770.0,,,,,,,,,,,,,,,3,,,,Parent,,,,AUD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12290,Barbados,2,23607679,23830912,2021-08-16,20,425,20,900,47000,1625147                        ,4038102                        ,552.49,0.0,400.0,0.0,GBP            ,20-900,20-425-20-900-47000,91508605,USD            ,,4038102,23607679,Y,,,Y,,,,Y,,,,Legacy_23830912,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1625147                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1625147.0,,,,,,,,,,,,,,,2,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12292,Barbados,2,23607680,23830913,2021-08-16,20,300,20,900,47000,1625772                        ,4037973                        ,0.0,1763.33,0.0,1763.33,USD            ,20-900,20-300-20-900-47000,91508607,USD            ,,4037973,23607680,Y,,,Y,,,,Y,,,,Legacy_23830913,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1625772                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1625772.0,,,,,,,,,,,,,,,2,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12293,Barbados,1,23607681,23830914,2021-08-16,20,300,20,900,47000,1626602                        ,4038055                        ,0.0,719.0,0.0,719.0,USD            ,20-900,20-300-20-900-47000,91508608,USD            ,,4038055,23607681,Y,,,Y,,,,Y,,,,Legacy_23830914,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1626602                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1626602.0,,,,,,,,,,,,,,,1,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12294,Barbados,2,23607681,23830914,2021-08-16,20,300,20,900,47000,1626602                        ,4038053                        ,719.0,0.0,719.0,0.0,USD            ,20-900,20-300-20-900-47000,91508609,USD            ,,4038053,23607681,Y,,,Y,,,,Y,,,,Legacy_23830914,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1626602                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1626602.0,,,,,,,,,,,,,,,2,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12296,Barbados,2,23607682,23830915,2021-08-16,20,300,20,900,41500,1630026                        ,FIT-4000068-2021-08-16         ,5797.0,0.0,5797.0,0.0,USD            ,20-900,20-300-20-900-41500,91508611,USD            ,,4000068,23607682,Y,,,Y,,,,Y,,,,Legacy_23830915,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1630026                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500.0,FIT Revenue,RC_Private_Groups_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1630026.0,1630026.0,National Geographic,Central America,39873.0,0.0,0.0,1717526.0,Family,US National Geographic,GAPDPLCRSGF210816-O1,Land,4000068.0,,1.0,2,,,,Parent,,0.0,5797.0,USD            ,,0.0,5797.0,,,,,,,,,,Land,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12297,Barbados,3,23607682,23830915,2021-08-16,20,300,20,900,41500,1630026                        ,FIT-3999999-2021-08-16         ,7596.0,0.0,7596.0,0.0,USD            ,20-900,20-300-20-900-41500,91508612,USD            ,,3999999,23607682,Y,,,Y,,,,Y,,,,Legacy_23830915,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1630026                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500.0,FIT Revenue,RC_Private_Groups_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1630026.0,1630026.0,National Geographic,Central America,39873.0,0.0,0.0,1717526.0,Family,US National Geographic,GAPDPLCRSGF210816-O1,Land,3999999.0,,1.0,3,,,,Parent,,0.0,7596.0,USD            ,,0.0,7596.0,,,,,,,,,,Land,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12298,Barbados,4,23607682,23830915,2021-08-16,20,300,20,900,41500,1630026                        ,FIT-4000058-2021-08-16         ,3998.0,0.0,3998.0,0.0,USD            ,20-900,20-300-20-900-41500,91508613,USD            ,,4000058,23607682,Y,,,Y,,,,Y,,,,Legacy_23830915,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1630026                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500.0,FIT Revenue,RC_Private_Groups_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1630026.0,1630026.0,National Geographic,Central America,39873.0,0.0,0.0,1717526.0,Family,US National Geographic,GAPDPLCRSGF210816-O1,Land,4000058.0,,1.0,4,,,,Parent,,0.0,3998.0,USD            ,,0.0,3998.0,,,,,,,,,,Land,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12299,Barbados,5,23607682,23830915,2021-08-16,20,300,20,900,41500,1630026                        ,FIT-4000116-                   ,0.0,1349.25,0.0,1349.25,USD            ,20-900,20-300-20-900-41500,91508614,USD            ,,4000116,23607682,Y,,,Y,,,,Y,,,,Legacy_23830915,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1630026                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500.0,FIT Revenue,RC_Private_Groups_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1630026.0,,,,,,,,,,,,,,,5,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12310,Barbados,3,23607683,23830916,2021-08-16,20,425,20,900,47000,1631913                        ,4038605                        ,0.0,6.22,0.0,4.5,GBP            ,20-900,20-425-20-900-47000,91508625,USD            ,,4038605,23607683,Y,,,Y,,,,Y,,,,Legacy_23830916,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1631913                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1631913.0,,,,,,,,,,,,,,,3,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12311,Barbados,4,23607683,23830916,2021-08-16,20,425,20,900,47000,1631913                        ,4038606                        ,0.0,648.49,0.0,469.5,GBP            ,20-900,20-425-20-900-47000,91508626,USD            ,,4038606,23607683,Y,,,Y,,,,Y,,,,Legacy_23830916,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1631913                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1631913.0,,,,,,,,,,,,,,,4,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12316,Barbados,2,23607684,23830917,2021-08-16,20,300,20,900,47000,1632388                        ,4038007                        ,9.64,0.0,9.64,0.0,USD            ,20-900,20-300-20-900-47000,91508631,USD            ,,4038007,23607684,Y,,,Y,,,,Y,,,,Legacy_23830917,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1632388                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1632388.0,,,,,,,,,,,,,,,2,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12318,Barbados,2,23607685,23830918,2021-08-16,20,425,20,900,47000,1633981                        ,4038632                        ,552.49,0.0,400.0,0.0,GBP            ,20-900,20-425-20-900-47000,91508633,USD            ,,4038632,23607685,Y,,,Y,,,,Y,,,,Legacy_23830918,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1633981                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1633981.0,,,,,,,,,,,,,,,2,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12319,Barbados,1,23607686,23830919,2021-08-16,20,425,20,900,47000,1634046                        ,4038221                        ,552.49,0.0,400.0,0.0,GBP            ,20-900,20-425-20-900-47000,91508634,USD            ,,4038221,23607686,Y,,,Y,,,,Y,,,,Legacy_23830919,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1634046                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1634046.0,,,,,,,,,,,,,,,1,,,,Parent,,,,GBP            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
12325,Barbados,3,23607687,23830920,2021-08-16,20,300,20,900,47000,1634057                        ,4038037                        ,0.0,339.15,0.0,339.15,USD            ,20-900,20-300-20-900-47000,91508640,USD            ,,4038037,23607687,Y,,,Y,,,,Y,,,,Legacy_23830920,20,USD            ,Actuals,,2021-08-16,Conversion,,,,,1634057                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000.0,Change/Cancellation Fees,RC_Cancellation_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1634057.0,,,,,,,,,,,,,,,3,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,,,,,,,,,,,,,,
