,Company,line_key,header_key,JRNENTRY,trxdate,ACTNUMBR_1,ACTNUMBR_2,ACTNUMBR_3,ACTNUMBR_4,ACTNUMBR_5,REFRENCE,DSCRIPTN,CRDTAMNT,DEBITAMT,ORCRDAMT,ORDBTAMT,CURNCYID,CC_CODE_LEGACY,FULLGL,gp_rec_id,FUNLCURR,gp_trip_code,gp_service_id,Header Key*,Add Only,Create Journal with Errors,Accounting Journal,Auto Complete,Comment,Worker,Accounting Journal ID,Submit,Disable Optional Worktag Balancing,Locked in Workday,Round Ledger Amounts,Journal Number,Company*,Currency*,Ledger Type*,Book Code,Accounting Date*,Journal Source*,Balancing Worktag,Optional Balancing Worktags+,External Supplier Invoice Source,Record Quantity,Journal Entry Memo,External Reference ID,Document Link,Adjustment Journal,Include Tax Lines,Create Reversal,Reversal Date,Control Total Amount,Currency Rate Type,Display Account Set,Row ID*,Content Type,Filename,Encoding,Compressed,File Content,Companies Without Access+,Skip,Discard On Exit Validation Error,File Name*,Event Attachment Description,Event Attachment Category,File,Legacy Ledger Account,Workday Ledger Account SC,Legacy ID_x,Legacy ID_y,Legacy Description_x,CC_Code,Legacy ID_x.1,Legacy Description_y,RevenueCategory,Legacy ID_y.1,Legacy Description - Legacy Name: Reporting Office_x,operational_territory_oh,Legacy Description - Legacy Name: Reporting Office_y,operational_territory_rev_cog,Legacy ID,Legacy Description,Posting Type,Account Category Number,Gross margin category,Workday ID Ledger Account,bookingno,trip_code,parent_trip_code,reporting_office_name,revenue_fraction,revenue_stream,travel_style,id,billing_group_name,agent,associated_agent,online,agent_code,sub_territory,service_id,filter
261903,Barbados,10,23678830,23902463,2021-08-31,20,300,20,900,47000,1609413,GPFzDOLTNG211019-O1            ,0,3.44,0,3.44,USD            ,20-900,20-300-20-900-47000,91698365,USD            ,GPFzDOLTNG211019-O1,0,23678830,Y,,,Y,,,,Y,,,,Legacy_23902463,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1609413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1609413,,,,,,,,,,,,,,,1
261904,Barbados,11,23678830,23902463,2021-08-31,20,300,20,900,47000,1609413,GPFzDJNTNG211019-O1            ,0,1.72,0,1.72,USD            ,20-900,20-300-20-900-47000,91698366,USD            ,GPFzDJNTNG211019-O1,0,23678830,Y,,,Y,,,,Y,,,,Legacy_23902463,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1609413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1609413,,,,,,,,,,,,,,,1
261905,Barbados,12,23678830,23902463,2021-08-31,20,300,20,900,47000,1609413,GPFzDOLTNG211019-O1            ,3.44,0,3.44,0,USD            ,20-900,20-300-20-900-47000,91698367,USD            ,GPFzDOLTNG211019-O1,0,23678830,Y,,,Y,,,,Y,,,,Legacy_23902463,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1609413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1609413,,,,,,,,,,,,,,,1
261906,Barbados,13,23678830,23902463,2021-08-31,20,300,20,900,47000,1609413,GPFDOHNG211012-O1              ,114.62,0,114.62,0,USD            ,20-900,20-300-20-900-47000,91698368,USD            ,GPFDOHNG211012-O1,0,23678830,Y,,,Y,,,,Y,,,,Legacy_23902463,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1609413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1609413,,,,,,,,,,,,,,,1
261907,Barbados,14,23678830,23902463,2021-08-31,20,300,20,900,47000,1609413,GPFDOHNG211012-O1              ,0,114.62,0,114.62,USD            ,20-900,20-300-20-900-47000,91698369,USD            ,GPFDOHNG211012-O1,0,23678830,Y,,,Y,,,,Y,,,,Legacy_23902463,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1609413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1609413,,,,,,,,,,,,,,,1
261908,Barbados,15,23678830,23902463,2021-08-31,20,300,20,900,47000,1609413,GPFDJJNG211019-O1              ,80.22,0,80.22,0,USD            ,20-900,20-300-20-900-47000,91698370,USD            ,GPFDJJNG211019-O1,0,23678830,Y,,,Y,,,,Y,,,,Legacy_23902463,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1609413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1609413,,,,,,,,,,,,,,,1
261909,Barbados,16,23678830,23902463,2021-08-31,20,300,20,900,47000,1609413,GPFzDJNTNG211019-O1            ,1.72,0,1.72,0,USD            ,20-900,20-300-20-900-47000,91698371,USD            ,GPFzDJNTNG211019-O1,0,23678830,Y,,,Y,,,,Y,,,,Legacy_23902463,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1609413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1609413,,,,,,,,,,,,,,,1
261936,Barbados,1,23678832,23902465,2021-08-31,20,425,20,100,40000,1610334,GPAABCB211023-O1               ,0,320.93,0,232.35,GBP            ,20-100,20-425-20-100-40000,91698380,USD            ,GPAABCB211023-O1,0,23678832,Y,,,Y,,,,Y,,,,Legacy_23902465,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1610334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,Land Revenue,RC_Land_Revenue,,,,,,,,,,,,1610334,,,,,,,,,,,,,,,1
261937,Barbados,2,23678832,23902465,2021-08-31,20,425,20,300,40001,1610334,GPAABCB211023-O1               ,320.93,0,232.35,0,GBP            ,20-300,20-425-20-300-40001,91698381,USD            ,GPAABCB211023-O1,0,23678832,Y,,,Y,,,,Y,,,,Legacy_23902465,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1610334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40001,Land Discounts/Promotions,RC_Land_Discounts,,,,,,,,,,,,1610334,,,,,,,,,,,,,,,1
261938,Barbados,3,23678832,23902465,2021-08-31,20,425,20,900,47000,1610334,GPAABCB211023-O1               ,0,320.93,0,232.35,GBP            ,20-900,20-425-20-900-47000,91698382,USD            ,GPAABCB211023-O1,0,23678832,Y,,,Y,,,,Y,,,,Legacy_23902465,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1610334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1610334,,,,,,,,,,,,,,,1
261939,Barbados,4,23678832,23902465,2021-08-31,20,425,20,900,47000,1610334,GPAABCB211023-O1               ,320.93,0,232.35,0,GBP            ,20-900,20-425-20-900-47000,91698383,USD            ,GPAABCB211023-O1,0,23678832,Y,,,Y,,,,Y,,,,Legacy_23902465,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1610334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1610334,,,,,,,,,,,,,,,1
261944,Barbados,1,23678833,23902466,2021-08-31,20,425,20,100,40000,1610747,GPAAHRA211003-O1               ,0,358.84,0,259.8,GBP            ,20-100,20-425-20-100-40000,91698388,USD            ,GPAAHRA211003-O1,0,23678833,Y,,,Y,,,,Y,,,,Legacy_23902466,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1610747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,Land Revenue,RC_Land_Revenue,,,,,,,,,,,,1610747,,,,,,,,,,,,,,,1
261945,Barbados,2,23678833,23902466,2021-08-31,20,425,20,300,40001,1610747,GPAAHRA211003-O1               ,358.84,0,259.8,0,GBP            ,20-300,20-425-20-300-40001,91698389,USD            ,GPAAHRA211003-O1,0,23678833,Y,,,Y,,,,Y,,,,Legacy_23902466,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1610747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40001,Land Discounts/Promotions,RC_Land_Discounts,,,,,,,,,,,,1610747,,,,,,,,,,,,,,,1
261946,Barbados,3,23678833,23902466,2021-08-31,20,425,20,900,47000,1610747,GPAAHRA211003-O1               ,358.84,0,259.8,0,GBP            ,20-900,20-425-20-900-47000,91698390,USD            ,GPAAHRA211003-O1,0,23678833,Y,,,Y,,,,Y,,,,Legacy_23902466,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1610747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1610747,,,,,,,,,,,,,,,1
261947,Barbados,4,23678833,23902466,2021-08-31,20,425,20,900,47000,1610747,GPAAHRA211003-O1               ,0,358.84,0,259.8,GBP            ,20-900,20-425-20-900-47000,91698391,USD            ,GPAAHRA211003-O1,0,23678833,Y,,,Y,,,,Y,,,,Legacy_23902466,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1610747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1610747,,,,,,,,,,,,,,,1
261948,Barbados,1,23678834,23902467,2021-08-31,20,300,20,900,44000,1611453,GPXXLCASX211213-O1             ,0,983.2,0,983.2,USD            ,20-900,20-300-20-900-44000,91698392,USD            ,GPXXLCASX211213-O1,0,23678834,Y,,,Y,,,,Y,,,,Legacy_23902467,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,Ship Revenue,RC_Ship_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611453,,,,,,,,,,,,,,,1
261949,Barbados,2,23678834,23902467,2021-08-31,20,300,20,900,44000,1611453,GPXzXVUHSX211212-O1            ,0,16.8,0,16.8,USD            ,20-900,20-300-20-900-44000,91698393,USD            ,GPXzXVUHSX211212-O1,0,23678834,Y,,,Y,,,,Y,,,,Legacy_23902467,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,Ship Revenue,RC_Ship_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611453,,,,,,,,,,,,,,,1
261950,Barbados,3,23678834,23902467,2021-08-31,20,300,20,900,47000,1611453,GPXXLCASX211213-O1             ,0,983.2,0,983.2,USD            ,20-900,20-300-20-900-47000,91698394,USD            ,GPXXLCASX211213-O1,0,23678834,Y,,,Y,,,,Y,,,,Legacy_23902467,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611453,,,,,,,,,,,,,,,1
261952,Barbados,5,23678834,23902467,2021-08-31,20,300,20,900,47000,1611453,GPXXLCASX211213-O1             ,983.2,0,983.2,0,USD            ,20-900,20-300-20-900-47000,91698396,USD            ,GPXXLCASX211213-O1,0,23678834,Y,,,Y,,,,Y,,,,Legacy_23902467,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611453,,,,,,,,,,,,,,,1
261953,Barbados,6,23678834,23902467,2021-08-31,20,300,20,900,47000,1611453,GPXzXVUHSX211212-O1            ,16.8,0,16.8,0,USD            ,20-900,20-300-20-900-47000,91698397,USD            ,GPXzXVUHSX211212-O1,0,23678834,Y,,,Y,,,,Y,,,,Legacy_23902467,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611453,,,,,,,,,,,,,,,1
261954,Barbados,7,23678834,23902467,2021-08-31,20,300,20,900,47000,1611453,GPXzXVUHSX211212-O1            ,0,16.8,0,16.8,USD            ,20-900,20-300-20-900-47000,91698398,USD            ,GPXzXVUHSX211212-O1,0,23678834,Y,,,Y,,,,Y,,,,Legacy_23902467,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611453,,,,,,,,,,,,,,,1
261956,Barbados,9,23678834,23902467,2021-08-31,20,300,20,900,44001,1611453,GPXzXVUHSX211212-O1            ,16.8,0,16.8,0,USD            ,20-900,20-300-20-900-44001,91698400,USD            ,GPXzXVUHSX211212-O1,0,23678834,Y,,,Y,,,,Y,,,,Legacy_23902467,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44001,Ship Revenue Promotions/Discounts,RC_Ship_Discounts,900,Basecamp,OT_Basecamp,,,,,,,,,1611453,,,,,,,,,,,,,,,1
261957,Barbados,10,23678834,23902467,2021-08-31,20,300,20,900,44001,1611453,GPXXLCASX211213-O1             ,983.2,0,983.2,0,USD            ,20-900,20-300-20-900-44001,91698401,USD            ,GPXXLCASX211213-O1,0,23678834,Y,,,Y,,,,Y,,,,Legacy_23902467,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44001,Ship Revenue Promotions/Discounts,RC_Ship_Discounts,900,Basecamp,OT_Basecamp,,,,,,,,,1611453,,,,,,,,,,,,,,,1
261960,Barbados,1,23678835,23902468,2021-08-31,20,300,20,100,40000,1611531,GPAzATBHT210927-O1             ,0,135.92,0,135.92,USD            ,20-100,20-300-20-100-40000,91698404,USD            ,GPAzATBHT210927-O1,0,23678835,Y,,,Y,,,,Y,,,,Legacy_23902468,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,Land Revenue,RC_Land_Revenue,,,,,,,,,,,,1611531,,,,,,,,,,,,,,,1
261961,Barbados,2,23678835,23902468,2021-08-31,20,300,20,100,40000,1611531,GPAzAVHAN211009-O1             ,0,4.61,0,4.61,USD            ,20-100,20-300-20-100-40000,91698405,USD            ,GPAzAVHAN211009-O1,0,23678835,Y,,,Y,,,,Y,,,,Legacy_23902468,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,Land Revenue,RC_Land_Revenue,,,,,,,,,,,,1611531,,,,,,,,,,,,,,,1
261962,Barbados,3,23678835,23902468,2021-08-31,20,300,20,100,40000,1611531,GPAzAVCWT211018-O1             ,0,80.89,0,80.89,USD            ,20-100,20-300-20-100-40000,91698406,USD            ,GPAzAVCWT211018-O1,0,23678835,Y,,,Y,,,,Y,,,,Legacy_23902468,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,Land Revenue,RC_Land_Revenue,,,,,,,,,,,,1611531,,,,,,,,,,,,,,,1
261963,Barbados,4,23678835,23902468,2021-08-31,20,300,20,100,40000,1611531,GPAzAVCHT211010-O1             ,0,98.36,0,98.36,USD            ,20-100,20-300-20-100-40000,91698407,USD            ,GPAzAVCHT211010-O1,0,23678835,Y,,,Y,,,,Y,,,,Legacy_23902468,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,Land Revenue,RC_Land_Revenue,,,,,,,,,,,,1611531,,,,,,,,,,,,,,,1
261964,Barbados,5,23678835,23902468,2021-08-31,20,300,20,100,40000,1611531,GPAzAVSAN211017-O1             ,0,5.04,0,5.04,USD            ,20-100,20-300-20-100-40000,91698408,USD            ,GPAzAVSAN211017-O1,0,23678835,Y,,,Y,,,,Y,,,,Legacy_23902468,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,Land Revenue,RC_Land_Revenue,,,,,,,,,,,,1611531,,,,,,,,,,,,,,,1
261965,Barbados,6,23678835,23902468,2021-08-31,20,300,20,900,47000,1611531,GPAzAVSAN211017-O1             ,5.04,0,5.04,0,USD            ,20-900,20-300-20-900-47000,91698409,USD            ,GPAzAVSAN211017-O1,0,23678835,Y,,,Y,,,,Y,,,,Legacy_23902468,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611531,,,,,,,,,,,,,,,1
261966,Barbados,7,23678835,23902468,2021-08-31,20,300,20,900,47000,1611531,GPAzAVCWT211018-O1             ,80.89,0,80.89,0,USD            ,20-900,20-300-20-900-47000,91698410,USD            ,GPAzAVCWT211018-O1,0,23678835,Y,,,Y,,,,Y,,,,Legacy_23902468,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611531,,,,,,,,,,,,,,,1
261967,Barbados,8,23678835,23902468,2021-08-31,20,300,20,900,47000,1611531,GPAzAVHAN211009-O1             ,4.61,0,4.61,0,USD            ,20-900,20-300-20-900-47000,91698411,USD            ,GPAzAVHAN211009-O1,0,23678835,Y,,,Y,,,,Y,,,,Legacy_23902468,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611531,,,,,,,,,,,,,,,1
261968,Barbados,9,23678835,23902468,2021-08-31,20,300,20,900,47000,1611531,GPAzATBHT210927-O1             ,135.92,0,135.92,0,USD            ,20-900,20-300-20-900-47000,91698412,USD            ,GPAzATBHT210927-O1,0,23678835,Y,,,Y,,,,Y,,,,Legacy_23902468,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611531,,,,,,,,,,,,,,,1
261969,Barbados,10,23678835,23902468,2021-08-31,20,300,20,900,47000,1611531,GPAzAVCHT211010-O1             ,98.36,0,98.36,0,USD            ,20-900,20-300-20-900-47000,91698413,USD            ,GPAzAVCHT211010-O1,0,23678835,Y,,,Y,,,,Y,,,,Legacy_23902468,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611531,,,,,,,,,,,,,,,1
261980,Barbados,1,23678836,23902469,2021-08-31,20,300,20,900,44000,1611593,GPXzXVUHSX211212-O1            ,0,6.72,0,6.72,USD            ,20-900,20-300-20-900-44000,91698424,USD            ,GPXzXVUHSX211212-O1,0,23678836,Y,,,Y,,,,Y,,,,Legacy_23902469,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,Ship Revenue,RC_Ship_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611593,,,,,,,,,,,,,,,1
261981,Barbados,2,23678836,23902469,2021-08-31,20,300,20,900,44000,1611593,GPXXLCASX211213-O1             ,0,393.28,0,393.28,USD            ,20-900,20-300-20-900-44000,91698425,USD            ,GPXXLCASX211213-O1,0,23678836,Y,,,Y,,,,Y,,,,Legacy_23902469,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,Ship Revenue,RC_Ship_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611593,,,,,,,,,,,,,,,1
261982,Barbados,3,23678836,23902469,2021-08-31,20,300,20,900,47000,1611593,GPXXLCASX211213-O1             ,393.28,0,393.28,0,USD            ,20-900,20-300-20-900-47000,91698426,USD            ,GPXXLCASX211213-O1,0,23678836,Y,,,Y,,,,Y,,,,Legacy_23902469,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611593,,,,,,,,,,,,,,,1
261983,Barbados,4,23678836,23902469,2021-08-31,20,300,20,900,47000,1611593,GPXXLCASX211213-O1             ,0,393.28,0,393.28,USD            ,20-900,20-300-20-900-47000,91698427,USD            ,GPXXLCASX211213-O1,0,23678836,Y,,,Y,,,,Y,,,,Legacy_23902469,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611593,,,,,,,,,,,,,,,1
261985,Barbados,6,23678836,23902469,2021-08-31,20,300,20,900,47000,1611593,GPXzXVUHSX211212-O1            ,0,6.72,0,6.72,USD            ,20-900,20-300-20-900-47000,91698429,USD            ,GPXzXVUHSX211212-O1,0,23678836,Y,,,Y,,,,Y,,,,Legacy_23902469,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611593,,,,,,,,,,,,,,,1
261987,Barbados,8,23678836,23902469,2021-08-31,20,300,20,900,47000,1611593,GPXzXVUHSX211212-O1            ,6.72,0,6.72,0,USD            ,20-900,20-300-20-900-47000,91698431,USD            ,GPXzXVUHSX211212-O1,0,23678836,Y,,,Y,,,,Y,,,,Legacy_23902469,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611593,,,,,,,,,,,,,,,1
261988,Barbados,9,23678836,23902469,2021-08-31,20,300,20,900,44001,1611593,GPXzXVUHSX211212-O1            ,6.72,0,6.72,0,USD            ,20-900,20-300-20-900-44001,91698432,USD            ,GPXzXVUHSX211212-O1,0,23678836,Y,,,Y,,,,Y,,,,Legacy_23902469,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44001,Ship Revenue Promotions/Discounts,RC_Ship_Discounts,900,Basecamp,OT_Basecamp,,,,,,,,,1611593,,,,,,,,,,,,,,,1
261989,Barbados,10,23678836,23902469,2021-08-31,20,300,20,900,44001,1611593,GPXXLCASX211213-O1             ,393.28,0,393.28,0,USD            ,20-900,20-300-20-900-44001,91698433,USD            ,GPXXLCASX211213-O1,0,23678836,Y,,,Y,,,,Y,,,,Legacy_23902469,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44001,Ship Revenue Promotions/Discounts,RC_Ship_Discounts,900,Basecamp,OT_Basecamp,,,,,,,,,1611593,,,,,,,,,,,,,,,1
261992,Barbados,1,23678837,23902470,2021-08-31,20,425,20,900,44000,1611832,GPXXLAESX211202-O1             ,0,60.91,0,44.1,GBP            ,20-900,20-425-20-900-44000,91698436,USD            ,GPXXLAESX211202-O1,0,23678837,Y,,,Y,,,,Y,,,,Legacy_23902470,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,Ship Revenue,RC_Ship_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611832,,,,,,,,,,,,,,,1
261993,Barbados,2,23678837,23902470,2021-08-31,20,425,20,900,44000,1611832,GPXzXVUHSX211201-O1            ,0,1.24,0,0.9,GBP            ,20-900,20-425-20-900-44000,91698437,USD            ,GPXzXVUHSX211201-O1,0,23678837,Y,,,Y,,,,Y,,,,Legacy_23902470,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,Ship Revenue,RC_Ship_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611832,,,,,,,,,,,,,,,1
261994,Barbados,3,23678837,23902470,2021-08-31,20,425,20,900,47000,1611832,GPXXLAESX211202-O1             ,60.91,0,44.1,0,GBP            ,20-900,20-425-20-900-47000,91698438,USD            ,GPXXLAESX211202-O1,0,23678837,Y,,,Y,,,,Y,,,,Legacy_23902470,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611832,,,,,,,,,,,,,,,1
261995,Barbados,4,23678837,23902470,2021-08-31,20,425,20,900,47000,1611832,GPXzXVUHSX211201-O1            ,1.24,0,0.9,0,GBP            ,20-900,20-425-20-900-47000,91698439,USD            ,GPXzXVUHSX211201-O1,0,23678837,Y,,,Y,,,,Y,,,,Legacy_23902470,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611832,,,,,,,,,,,,,,,1
261996,Barbados,1,23678838,23902471,2021-08-31,20,425,20,900,47000,1611943,GAPzSERGI211113-O1             ,140.89,0,102,0,GBP            ,20-900,20-425-20-900-47000,91698440,USD            ,GAPzSERGI211113-O1,0,23678838,Y,,,Y,,,,Y,,,,Legacy_23902471,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611943,,,,,,,,,,,,,,,1
261997,Barbados,2,23678838,23902471,2021-08-31,20,425,20,900,47000,1611943,GAPzSERGO211105-O1             ,140.89,0,102,0,GBP            ,20-900,20-425-20-900-47000,91698441,USD            ,GAPzSERGO211105-O1,0,23678838,Y,,,Y,,,,Y,,,,Legacy_23902471,20,USD            ,Actuals,,2021-08-31,Conversion,,,,,1611943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,Change/Cancellation Fees,RC_Cancellation_Revenue,900,Basecamp,OT_Basecamp,,,,,,,,,1611943,,,,,,,,,,,,,,,1
